Date,Price,Open,High,Low,Vol.,Change %
Oct 30 2008,4291.6,4242.5,4352.5,4200.2,,
Oct 29 2008,4242.5,3926.4,4242.5,3926.4,,
Oct 28 2008,3926.4,3852.6,4034.0,3847.6,,
Oct 27 2008,3852.6,3883.4,3911.6,3665.2,,
Oct 24 2008,3883.4,4087.8,4087.8,3715.2,,
Oct 23 2008,4087.8,4040.9,4108.4,3927.6,,
Oct 22 2008,4040.9,4229.7,4229.7,4031.8,,
Oct 21 2008,4229.7,4282.7,4347.7,4212.4,,
Oct 20 2008,4282.7,4063.0,4282.7,4063.0,,
Oct 17 2008,4063.0,3861.4,4077.6,3861.3,,
Oct 16 2008,3861.4,4079.6,4079.6,3808.1,,
Oct 15 2008,4079.6,4394.2,4394.2,4052.0,,
Oct 14 2008,4394.2,4256.9,4534.4,4256.9,,
Oct 13 2008,4256.9,3932.1,4256.9,3932.1,,
Oct 10 2008,3932.1,4313.8,4313.8,3874.0,,
Oct 09 2008,4313.8,4366.7,4512.5,4274.4,,
Oct 08 2008,4366.7,4605.2,4654.2,4245.3,,
Oct 07 2008,4605.2,4589.2,4745.0,4517.5,,
Oct 06 2008,4589.2,4980.3,4980.3,4549.7,,
Oct 03 2008,4980.3,4870.3,5003.9,4832.1,,
Oct 02 2008,4870.3,4959.6,5052.0,4862.1,,
Oct 01 2008,4959.6,4902.5,5012.2,4891.5,,
Sep 30 2008,4902.5,4818.8,4953.4,4671.0,,
Sep 29 2008,4818.8,5088.5,5088.5,4818.8,,
Sep 26 2008,5088.5,5197.0,5197.0,5057.3,,
Sep 25 2008,5197.0,5095.6,5211.6,5060.7,,
Sep 24 2008,5095.6,5136.1,5167.4,5087.3,,
Sep 23 2008,5136.1,5236.3,5236.3,5076.3,,
Sep 22 2008,5236.3,5311.3,5339.3,5236.3,,
Sep 19 2008,5311.3,4880.0,5351.2,4857.1,,
Sep 18 2008,4880.0,4912.4,5015.9,4860.7,,
Sep 17 2008,4912.4,5025.6,5124.4,4903.3,,
Sep 16 2008,5025.6,5204.2,5204.2,4961.2,,
Sep 15 2008,5204.2,5416.7,5416.7,5124.9,,
Sep 12 2008,5416.7,5318.4,5416.7,5318.4,,
Sep 11 2008,5318.4,5366.2,5377.9,5258.1,,
Sep 10 2008,5366.2,5415.6,5419.5,5327.8,,
Sep 09 2008,5415.6,5446.3,5524.8,5386.9,,
Sep 08 2008,5446.3,5240.7,5447.6,5240.7,,
Sep 05 2008,5240.7,5362.1,5362.1,5227.6,,
Sep 04 2008,5362.1,5499.7,5541.7,5362.1,,
Sep 03 2008,5499.7,5620.7,5620.7,5492.1,,
Sep 02 2008,5620.7,5602.8,5646.5,5574.9,,
Sep 01 2008,5602.8,5636.6,5636.6,5573.8,,
Aug 29 2008,5636.6,5601.2,5649.1,5587.4,,
Aug 28 2008,5601.2,5528.1,5634.0,5496.9,,
Aug 27 2008,5528.1,5470.7,5540.8,5434.7,,
Aug 26 2008,5470.7,5505.6,5505.6,5369.3,,
Aug 22 2008,5505.6,5370.2,5505.6,5368.0,,
Aug 21 2008,5370.2,5371.8,5408.0,5311.4,,
Aug 20 2008,5371.8,5320.4,5384.2,5320.4,,
Aug 19 2008,5320.4,5450.2,5450.2,5317.1,,
Aug 18 2008,5450.2,5454.8,5498.7,5425.3,,
Aug 15 2008,5454.8,5497.4,5538.8,5432.2,,
Aug 14 2008,5497.4,5448.6,5539.6,5445.6,,
Aug 13 2008,5448.6,5534.5,5534.5,5437.1,,
Aug 12 2008,5534.5,5541.8,5569.2,5491.3,,
Aug 11 2008,5541.8,5489.2,5541.8,5477.7,,
Aug 08 2008,5489.2,5477.5,5507.2,5410.8,,
Aug 07 2008,5477.5,5486.1,5539.3,5450.9,,
Aug 06 2008,5486.1,5454.5,5498.6,5440.1,,
Aug 05 2008,5454.5,5320.2,5454.5,5299.7,,
Aug 04 2008,5320.2,5354.7,5414.7,5310.3,,
Aug 01 2008,5354.7,5411.9,5411.9,5321.3,,
Jul 31 2008,5411.9,5420.7,5456.1,5371.3,,
Jul 30 2008,5420.7,5319.2,5435.9,5319.2,,
Jul 29 2008,5319.2,5312.6,5354.6,5261.4,,
Jul 28 2008,5312.6,5352.6,5365.8,5308.4,,
Jul 25 2008,5352.6,5362.3,5375.2,5291.4,,
Jul 24 2008,5362.3,5449.9,5463.7,5345.1,,
Jul 23 2008,5449.9,5364.1,5467.2,5364.1,,
Jul 22 2008,5364.1,5404.3,5404.3,5282.8,,
Jul 21 2008,5404.3,5376.4,5445.8,5334.6,,
Jul 18 2008,5376.4,5286.3,5376.4,5216.6,,
Jul 17 2008,5286.3,5150.6,5320.5,5150.6,,
Jul 16 2008,5150.6,5171.9,5210.1,5071.1,,
Jul 15 2008,5171.9,5300.4,5300.4,5119.0,,
Jul 14 2008,5300.4,5261.6,5373.2,5261.6,,
Jul 11 2008,5261.6,5406.8,5461.8,5261.6,,
Jul 10 2008,5406.8,5529.6,5529.6,5392.6,,
Jul 09 2008,5529.6,5440.5,5538.2,5440.5,,
Jul 08 2008,5440.5,5512.7,5512.7,5358.7,,
Jul 07 2008,5512.7,5412.8,5516.4,5400.1,,
Jul 04 2008,5412.8,5476.6,5490.2,5394.0,,
Jul 03 2008,5476.6,5426.3,5490.6,5358.5,,
Jul 02 2008,5426.3,5479.9,5566.8,5426.3,,
Jul 01 2008,5479.9,5625.9,5625.9,5466.3,,
Jun 30 2008,5625.9,5529.9,5625.9,5520.2,,
Jun 27 2008,5529.9,5518.2,5555.2,5470.9,,
Jun 26 2008,5518.2,5666.1,5666.1,5518.2,,
Jun 25 2008,5666.1,5634.7,5669.6,5634.7,,
Jun 24 2008,5634.7,5667.2,5693.8,5581.6,,
Jun 23 2008,5667.2,5620.8,5679.2,5603.2,,
Jun 20 2008,5620.8,5708.4,5731.9,5597.0,,
Jun 19 2008,5708.4,5756.9,5786.4,5707.2,,
Jun 18 2008,5756.9,5861.9,5861.9,5735.4,,
Jun 17 2008,5861.9,5794.6,5930.3,5794.6,,
Jun 16 2008,5794.6,5802.8,5832.6,5759.6,,
Jun 13 2008,5802.8,5790.5,5818.3,5719.5,,
Jun 12 2008,5790.5,5723.3,5797.8,5719.8,,
Jun 11 2008,5723.3,5827.3,5859.4,5708.3,,
Jun 10 2008,5827.3,5877.6,5877.6,5813.4,,
Jun 09 2008,5877.6,5906.8,5938.5,5869.6,,
Jun 06 2008,5906.8,5995.3,6074.5,5906.5,,
Jun 05 2008,5995.3,5970.1,6005.1,5941.0,,
Jun 04 2008,5970.1,6057.7,6057.7,5933.3,,
Jun 03 2008,6057.7,6007.6,6059.0,5993.3,,
Jun 02 2008,6007.6,6053.5,6060.8,5978.4,,
May 30 2008,6053.5,6068.1,6111.6,6044.7,,
May 29 2008,6068.1,6069.6,6130.5,6041.1,,
May 28 2008,6069.6,6058.5,6122.2,6052.5,,
May 27 2008,6058.5,6087.3,6141.7,6048.7,,
May 23 2008,6087.3,6181.6,6182.9,6087.3,,
May 22 2008,6181.6,6198.1,6226.2,6159.4,,
May 21 2008,6198.1,6191.6,6257.3,6183.5,,
May 20 2008,6191.6,6376.5,6376.5,6191.6,,
May 19 2008,6376.5,6304.3,6377.0,6302.8,,
